,Port,Country/ Region,Region,Location,Year,thousand TEUs
91,Singapore,Singapore,Southeast Asia,Singapore Strait,2013,"32,240"
92,Ningbo-Zhoushan,China,East Asia,Yangtze Delta,2013,"17,351"
93,Shenzhen,China,East Asia,Pearl River Delta,2013,"23,280"
94,Qingdao,China,East Asia,Yellow Sea,2013,"15,520"
95,Guangzhou,China,East Asia,Pearl River Delta,2013,"15,309"
96,Busan,South Korea,East Asia,Korean Strait,2013,"17,690"
97,Tianjin,China,East Asia,Yellow Sea,2013,"13,010"
98,Los Angeles / Long Beach,United States,North America,West Coast,2013,"14,600"
99,Hong Kong,Hong Kong,East Asia,Pearl River Delta,2013,"22,352"
100,Shanghai,China,East Asia,Yangtze Delta,2012,"32,529"
101,Singapore,Singapore,Southeast Asia,Singapore Strait,2012,"31,649"
102,Ningbo-Zhoushan,China,East Asia,Yangtze Delta,2012,"16,670"
103,Shenzhen,China,East Asia,Pearl River Delta,2012,"22,940"
104,Qingdao,China,East Asia,Yellow Sea,2012,"14,503"
105,Guangzhou,China,East Asia,Pearl River Delta,2012,"14,744"
106,Busan,South Korea,East Asia,Korean Strait,2012,"17,046"
107,Tianjin,China,East Asia,Yellow Sea,2012,"12,300"
108,Los Angeles / Long Beach,United States,North America,West Coast,2012,"14,124"
109,Hong Kong,Hong Kong,East Asia,Pearl River Delta,2012,"23,117"
110,Shanghai,China,East Asia,Yangtze Delta,2011,"31,700"
111,Singapore,Singapore,Southeast Asia,Singapore Strait,2011,"29,937"
112,Ningbo-Zhoushan,China,East Asia,Yangtze Delta,2011,"14,686"
113,Shenzhen,China,East Asia,Pearl River Delta,2011,"22,570"
114,Qingdao,China,East Asia,Yellow Sea,2011,"13,020"
115,Guangzhou,China,East Asia,Pearl River Delta,2011,"14,400"
116,Busan,South Korea,East Asia,Korean Strait,2011,"16,185"
117,Tianjin,China,East Asia,Yellow Sea,2011,"11,500"
118,Los Angeles / Long Beach,United States,North America,West Coast,2011,"14,002"
119,Hong Kong,Hong Kong,East Asia,Pearl River Delta,2011,"24,384"
120,Shanghai,China,East Asia,Yangtze Delta,2010,"29,069"
121,Singapore,Singapore,Southeast Asia,Singapore Strait,2010,"28,431"
